"Country","Date_reported","Country_code","WHO_region","New_cases","Cumulative_cases","New_deaths","Cumulative_deaths","Population","New_cases_pc","Cumulative_cases_pc","New_deaths_pc","Cumulative_deaths_pc"
"Argentina","1/28/2020","AR","AMRO",0,0,0,0,44.494502,0,0,0,0
"Argentina","1/28/2021","AR","AMRO",10409,1885210,219,47253,44.494502,0.000233939,0.042369504,4.92196e-06,0.001061996
"Argentina","9/28/2020","AR","AMRO",11249,702484,335,15543,44.494502,0.000252818,0.015788108,7.52902e-06,0.000349324
"Argentina","2/28/2020","AR","AMRO",0,0,0,0,44.494502,0,0,0,0
"Argentina","5/28/2020","AR","AMRO",600,13228,21,492,44.494502,1.34848e-05,0.000297295,4.71968e-07,1.10575e-05
"Argentina","8/28/2020","AR","AMRO",10550,370188,283,7944,44.494502,0.000237108,0.008319859,6.36034e-06,0.000178539
"Argentina","4/28/2020","AR","AMRO",54,3892,13,192,44.494502,1.21363e-06,8.74715e-05,2.92171e-07,4.31514e-06
"Argentina","12/28/2020","AR","AMRO",3713,1578267,79,42501,44.494502,8.34485e-05,0.035471057,1.7755e-06,0.000955197
"Argentina","7/28/2020","AR","AMRO",4205,162526,43,2956,44.494502,9.45061e-05,0.003652721,9.66412e-07,6.64352e-05
"Argentina","3/28/2020","AR","AMRO",87,589,4,12,44.494502,1.9553e-06,1.32376e-05,8.98987e-08,2.69696e-07
"Argentina","10/28/2020","AR","AMRO",11712,1102301,405,29301,44.494502,0.000263224,0.02477387,9.10225e-06,0.000658531
"Argentina","6/28/2020","AR","AMRO",2886,55343,25,1192,44.494502,6.48619e-05,0.001243817,5.61867e-07,2.67898e-05
"Argentina","11/28/2020","AR","AMRO",9043,1399431,227,37941,44.494502,0.000203239,0.031451774,5.10175e-06,0.000852712
"Australia","4/28/2020","AU","WPRO",12,6725,1,84,24.99286,4.80137e-07,0.000269077,4.00114e-08,3.36096e-06
"Australia","8/28/2020","AU","WPRO",117,25322,23,572,24.99286,4.68134e-06,0.001013169,9.20263e-07,2.28865e-05
"Australia","1/28/2020","AU","WPRO",0,9,0,0,24.99286,0,3.60103e-07,0,0
"Australia","7/28/2020","AU","WPRO",532,14935,6,161,24.99286,2.12861e-05,0.000597571,2.40069e-07,6.44184e-06
"Australia","11/28/2020","AU","WPRO",7,27874,0,907,24.99286,2.8008e-07,0.001115279,0,3.62904e-05
"Australia","12/28/2020","AU","WPRO",16,28312,0,908,24.99286,6.40183e-07,0.001132804,0,3.63304e-05
"Australia","10/28/2020","AU","WPRO",14,27541,0,905,24.99286,5.6016e-07,0.001101955,0,3.62103e-05
"Australia","5/28/2020","AU","WPRO",6,7139,1,103,24.99286,2.40069e-07,0.000285642,4.00114e-08,4.12118e-06
"Australia","3/28/2020","AU","WPRO",650,3635,1,14,24.99286,2.60074e-05,0.000145442,4.00114e-08,5.6016e-07
"Australia","6/28/2020","AU","WPRO",46,7641,0,104,24.99286,1.84053e-06,0.000305727,0,4.16119e-06
"Australia","9/28/2020","AU","WPRO",24,27040,2,872,24.99286,9.60274e-07,0.001081909,8.00229e-08,3.489e-05
"Australia","2/28/2020","AU","WPRO",0,27,0,0,24.99286,0,1.08031e-06,0,0
"Australia","1/28/2021","AU","WPRO",6,28786,0,909,24.99286,2.40069e-07,0.001151769,0,3.63704e-05
"Austria","2/28/2020","AT","EURO",3,5,0,0,8.837707,3.39455e-07,5.65758e-07,0,0
"Austria","6/28/2020","AT","EURO",64,17562,2,700,8.837707,7.2417e-06,0.001987167,2.26303e-07,7.92061e-05
"Austria","5/28/2020","AT","EURO",18,16515,2,645,8.837707,2.03673e-06,0.001868697,2.26303e-07,7.29827e-05
