"Country","Date_reported","Country_code","WHO_region","New_cases","Cumulative_cases","New_deaths","Cumulative_deaths","Population","New_cases_pc","Cumulative_cases_pc","New_deaths_pc","Cumulative_deaths_pc"
"Argentina","10/3/2020","AR","AMRO",14001,765002,3351,20288,44.494502,0.000314668,0.01719318,7.53127e-05,0.000455966
"Argentina","1/3/2020","AR","AMRO",0,0,0,0,44.494502,0,0,0,0
"Argentina","7/3/2020","AR","AMRO",2667,67197,53,1363,44.494502,5.994e-05,0.001510232,1.19116e-06,3.0633e-05
"Argentina","4/3/2020","AR","AMRO",79,1133,4,31,44.494502,1.7755e-06,2.54638e-05,8.98987e-08,6.96715e-07
"Australia","1/3/2020","AU","WPRO",0,0,0,0,24.99286,0,0,0,0
"Australia","7/3/2020","AU","WPRO",81,8001,0,104,24.99286,3.24093e-06,0.000320131,0,4.16119e-06
"Australia","4/3/2020","AU","WPRO",374,5350,5,26,24.99286,1.49643e-05,0.000214061,2.00057e-07,1.0403e-06
"Australia","10/3/2020","AU","WPRO",17,27113,2,890,24.99286,6.80194e-07,0.00108483,8.00229e-08,3.56102e-05
"Austria","7/3/2020","AT","EURO",138,17952,0,705,8.837707,1.56149e-05,0.002031296,0,7.97718e-05
"Austria","4/3/2020","AT","EURO",418,11129,12,158,8.837707,4.72973e-05,0.001259263,1.35782e-06,1.78779e-05
"Austria","10/3/2020","AT","EURO",872,47189,1,803,8.837707,9.86681e-05,0.005339507,1.13152e-07,9.08607e-05
"Austria","1/3/2020","AT","EURO",0,0,0,0,8.837707,0,0,0,0
"Belgium","10/3/2020","BE","EURO",3721,132825,11,10037,11.40374,0.000326296,0.011647495,9.64596e-07,0.00088015
"Belgium","1/3/2020","BE","EURO",0,0,0,0,11.40374,0,0,0,0
"Belgium","7/3/2020","BE","EURO",93,62306,5,9631,11.40374,8.15522e-06,0.005463646,4.38453e-07,0.000844547
"Belgium","4/3/2020","BE","EURO",1478,20065,219,1828,11.40374,0.000129607,0.00175951,1.92042e-05,0.000160298
"Brazil","7/3/2020","BR","AMRO",46712,1448753,1038,60632,208.4949,0.000224044,0.006948626,4.97854e-06,0.000290808
"Brazil","10/3/2020","BR","AMRO",36157,4847092,728,144680,208.4949,0.000173419,0.023248012,3.49169e-06,0.000693926
"Brazil","1/3/2020","BR","AMRO",0,0,0,0,208.4949,0,0,0,0
"Brazil","4/3/2020","BR","AMRO",1119,6836,40,241,208.4949,5.36704e-06,3.27874e-05,1.91851e-07,1.1559e-06
"Bulgaria","4/3/2020","BG","EURO",35,457,0,10,7.025037,4.98218e-06,6.5053e-05,0,1.42348e-06
"Bulgaria","10/3/2020","BG","EURO",240,21336,6,838,7.025037,3.41635e-05,0.003037137,8.54088e-07,0.000119288
"Bulgaria","1/3/2020","BG","EURO",0,0,0,0,7.025037,0,0,0,0
"Bulgaria","7/3/2020","BG","EURO",161,5315,0,232,7.025037,2.2918e-05,0.00075658,0,3.30247e-05
"Canada","10/3/2020","CA","AMRO",1777,160535,22,9319,37.058856,4.79508e-05,0.004331893,5.9365e-07,0.000251465
"Canada","7/3/2020","CA","AMRO",0,104204,0,8591,37.058856,0,0.002811852,0,0.00023182
"Canada","1/3/2020","CA","AMRO",0,0,0,0,37.058856,0,0,0,0
"Canada","4/3/2020","CA","AMRO",1109,10114,22,127,37.058856,2.99254e-05,0.000272917,5.9365e-07,3.42698e-06
"Chile","4/3/2020","CL","AMRO",373,3404,2,18,18.751405,1.98918e-05,0.000181533,1.06659e-07,9.59928e-07
"Chile","1/3/2020","CL","AMRO",0,0,0,0,18.751405,0,0,0,0
"Chile","10/3/2020","CL","AMRO",1840,466590,45,12867,18.751405,9.8126e-05,0.024882935,2.39982e-06,0.000686189
"Chile","7/3/2020","CL","AMRO",2498,284541,167,5920,18.751405,0.000133217,0.015174383,8.906e-06,0.00031571
"China","1/3/2020","CN","WPRO",0,0,0,0,1415.045928,0,0,0,0
"China","10/3/2020","CN","WPRO",19,91101,0,4746,1415.045928,1.34271e-08,6.43802e-05,0,3.35395e-06
"China","4/3/2020","CN","WPRO",78,82802,4,3331,1415.045928,5.51219e-08,5.85154e-05,2.82676e-09,2.35399e-06
"China","7/3/2020","CN","WPRO",15,85278,0,4648,1415.045928,1.06004e-08,6.02652e-05,0,3.2847e-06
"Colombia","7/3/2020","CO","AMRO",4163,102009,136,3470,49.83424,8.35369e-05,0.002046966,2.72905e-06,6.96308e-05
"Colombia","10/3/2020","CO","AMRO",5660,835339,198,26196,49.83424,0.000113577,0.016762351,3.97317e-06,0.000525663
"Colombia","4/3/2020","CO","AMRO",159,1065,1,17,49.83424,3.19058e-06,2.13708e-05,2.00665e-08,3.41131e-07
"Colombia","1/3/2020","CO","AMRO",0,0,0,0,49.83424,0,0,0,0
"Costa Rica","4/3/2020","CR","AMRO",28,375,0,2,5.003402,5.59619e-06,7.4949e-05,0,3.99728e-07
"Costa Rica","1/3/2020","CR","AMRO",0,0,0,0,5.003402,0,0,0,0
"Costa Rica","7/3/2020","CR","AMRO",294,3753,0,16,5.003402,5.876e-05,0.00075009,0,3.19782e-06
"Costa Rica","10/3/2020","CR","AMRO",1068,76828,13,917,5.003402,0.000213455,0.015355152,2.59823e-06,0.000183275
"Croatia","4/3/2020","HR","EURO",48,1011,1,7,4.080666,1.17628e-05,0.000247754,2.45058e-07,1.71541e-06
"Croatia","7/3/2020","HR","EURO",81,2912,2,110,4.080666,1.98497e-05,0.000713609,4.90116e-07,2.69564e-05
"Croatia","1/3/2020","HR","EURO",0,0,0,0,4.080666,0,0,0,0
"Croatia","10/3/2020","HR","EURO",333,17160,7,291,4.080666,8.16043e-05,0.004205196,1.71541e-06,7.13119e-05
"Cyprus","7/3/2020","CY","EURO",0,999,0,19,0.869006,0,0.001149589,0,2.18641e-05
"Cyprus","4/3/2020","CY","EURO",36,356,0,9,0.869006,4.14266e-05,0.000409663,0,1.03567e-05
"Cyprus","1/3/2020","CY","EURO",0,0,0,0,0.869006,0,0,0,0
"Cyprus","10/3/2020","CY","EURO",17,1789,0,22,0.869006,1.95626e-05,0.002058674,0,2.53163e-05
"Czechia","1/3/2020","CZ","EURO",0,0,0,0,10.62643,0,0,0,0
"Czechia","4/3/2020","CZ","EURO",269,3858,5,44,10.62643,2.53142e-05,0.000363057,4.70525e-07,4.14062e-06
"Czechia","10/3/2020","CZ","EURO",3796,78051,21,699,10.62643,0.000357223,0.007344988,1.9762e-06,6.57794e-05
"Czechia","7/3/2020","CZ","EURO",132,12178,2,351,10.62643,1.24219e-05,0.00114601,1.8821e-07,3.30308e-05
"Denmark","4/3/2020","DK","EURO",279,3386,19,123,5.789957,4.81869e-05,0.000584806,3.28154e-06,2.12437e-05
"Denmark","7/3/2020","DK","EURO",21,12815,0,606,5.789957,3.62697e-06,0.002213315,0,0.000104664
"Denmark","1/3/2020","DK","EURO",0,0,0,0,5.789957,0,0,0,0
"Denmark","10/3/2020","DK","EURO",536,28932,1,652,5.789957,9.25741e-05,0.004996928,1.72713e-07,0.000112609
"Estonia","4/3/2020","EE","EURO",79,858,6,11,1.321977,5.9759e-05,0.000649028,4.53866e-06,8.32087e-06
"Estonia","7/3/2020","EE","EURO",1,1990,0,63,1.321977,7.56443e-07,0.001505321,0,4.76559e-05
