Country,Date_reported,Country_code,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,Population,New_cases_pc,Cumulative_cases_pc,New_deaths_pc,Cumulative_deaths_pc
Argentina,2/24/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,10/5/2020,AR,AMRO,11129,790818,196,20795,44.494502,0.000250121,0.017773387,4.40504E-06,0.000467361
Argentina,2/7/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,2/25/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,2/17/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,1/10/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,2/22/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,10/14/2020,AR,AMRO,9524,903730,318,24186,44.494502,0.000214049,0.020311049,7.14695E-06,0.000543573
Argentina,1/25/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,1/26/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,2/8/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,2/9/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,10/13/2020,AR,AMRO,10324,894206,287,23868,44.494502,0.000232029,0.020097,6.45024E-06,0.000536426
Argentina,1/7/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,2/15/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,2/23/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,2/10/2021,AR,AMRO,5154,1985501,227,49398,44.494502,0.000115835,0.044623513,5.10175E-06,0.001110205
Argentina,2/10/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,10/4/2020,AR,AMRO,14687,779689,311,20599,44.494502,0.000330086,0.017523266,6.98963E-06,0.000462956
Argentina,10/6/2020,AR,AMRO,7668,798486,223,21018,44.494502,0.000172336,0.017945723,5.01186E-06,0.000472373
Argentina,2/16/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,10/8/2020,AR,AMRO,14740,824468,359,21827,44.494502,0.000331277,0.01852966,8.06841E-06,0.000490555
Argentina,10/9/2020,AR,AMRO,16447,840915,399,22226,44.494502,0.000369641,0.018899301,8.9674E-06,0.000499522
Argentina,2/20/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,2/21/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,1/6/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,1/29/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,2/6/2021,AR,AMRO,8891,1961635,161,48700,44.494502,0.000199822,0.044087132,3.61842E-06,0.001094517
Argentina,2/6/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,10/2/2020,AR,AMRO,14392,751001,418,16937,44.494502,0.000323456,0.016878512,9.39442E-06,0.000380654
Argentina,10/3/2020,AR,AMRO,14001,765002,3351,20288,44.494502,0.000314668,0.01719318,7.53127E-05,0.000455966
Argentina,2/14/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,2/12/2021,AR,AMRO,7739,2001034,118,49674,44.494502,0.000173932,0.044972613,2.65201E-06,0.001116408
Argentina,1/24/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,1/19/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,1/20/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,1/27/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,10/12/2020,AR,AMRO,12414,883882,356,23581,44.494502,0.000279001,0.019864971,8.00099E-06,0.000529976
Argentina,1/28/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,1/26/2021,AR,AMRO,5031,1867223,90,46827,44.494502,0.00011307,0.041965252,2.02272E-06,0.001052422
Argentina,6/6/2020,AR,AMRO,929,20197,27,615,44.494502,2.0879E-05,0.000453921,6.06817E-07,1.38219E-05
Argentina,1/11/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,1/13/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,1/14/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,1/30/2021,AR,AMRO,9471,1905524,166,47601,44.494502,0.000212858,0.042826055,3.7308E-06,0.001069818
Argentina,1/29/2021,AR,AMRO,10843,1896053,182,47435,44.494502,0.000243693,0.042613197,4.09039E-06,0.001066087
Argentina,10/7/2020,AR,AMRO,11242,809728,450,21468,44.494502,0.00025266,0.018198383,1.01136E-05,0.000482487
Argentina,1/31/2021,AR,AMRO,9838,1915362,174,47775,44.494502,0.000221106,0.043047161,3.9106E-06,0.001073728
Argentina,2/1/2021,AR,AMRO,6902,1922264,156,47931,44.494502,0.00015512,0.043202281,3.50605E-06,0.001077234
Argentina,1/21/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,2/19/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,2/5/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,2/4/2021,AR,AMRO,9695,1943548,177,48426,44.494502,0.000217892,0.043680633,3.97802E-06,0.001088359
Argentina,2/5/2021,AR,AMRO,9196,1952744,113,48539,44.494502,0.000206677,0.04388731,2.53964E-06,0.001090899
Argentina,1/27/2021,AR,AMRO,7578,1874801,207,47034,44.494502,0.000170313,0.042135565,4.65226E-06,0.001057074
Argentina,9/29/2020,AR,AMRO,8841,711325,206,15749,44.494502,0.000198699,0.015986807,4.62979E-06,0.000353954
Argentina,9/30/2020,AR,AMRO,11807,723132,364,16113,44.494502,0.000265359,0.016252165,8.18079E-06,0.000362135
Argentina,2/11/2021,AR,AMRO,7794,1993295,158,49556,44.494502,0.000175168,0.044798681,3.551E-06,0.001113756
Argentina,1/15/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,6/10/2020,AR,AMRO,826,23620,28,698,44.494502,1.85641E-05,0.000530852,6.29291E-07,1.56873E-05
Argentina,1/17/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,1/18/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,2/11/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,1/22/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
Argentina,2/18/2020,AR,AMRO,0,0,0,0,44.494502,0,0,0,0
