"","Quarter","Country","LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag.Codes","Date_reported","Country_code","WHO_region","New_cases","Cumulative_cases","New_deaths","Cumulative_deaths","Population","New_cases_pc","Cumulative_cases_pc","New_deaths_pc","Cumulative_deaths_pc","GDP"
"1","Q1.2020","Australia","AUS","HUR","TOT","PC_LF","M","2020-04",6.353878,"","4/3/2020","AU","WPRO",374,5350,5,26,24.99286,1.49643e-05,0.000214061,2.00057e-07,1.0403e-06,"1,233,976"
"2","Q1.2020","Austria","AUT","HUR","TOT","PC_LF","M","2020-04",4.9,"","4/3/2020","AT","EURO",418,11129,12,158,8.837707,4.72973e-05,0.001259263,1.35782e-06,1.78779e-05,"454,026"
"3","Q1.2020","Belgium","BEL","HUR","TOT","PC_LF","M","2020-04",4.9,"","4/3/2020","BE","EURO",1478,20065,219,1828,11.40374,0.000129607,0.00175951,1.92042e-05,0.000160298,"540,442"
"4","Q1.2020","Canada","CAN","HUR","TOT","PC_LF","M","2020-04",13.1,"","4/3/2020","CA","AMRO",1109,10114,22,127,37.058856,2.99254e-05,0.000272917,5.9365e-07,3.42698e-06,"1,708,880"
"5","Q1.2020","Chile","CHL","HUR","TOT","PC_LF","M","2020-04",10.88574,"","4/3/2020","CL","AMRO",373,3404,2,18,18.751405,1.98918e-05,0.000181533,1.06659e-07,9.59928e-07,"442,744"
"6","Q1.2020","Colombia","COL","HUR","TOT","PC_LF","M","2020-04",20.13249,"","4/3/2020","CO","AMRO",159,1065,1,17,49.83424,3.19058e-06,2.13708e-05,2.00665e-08,3.41131e-07,"677,975"
"7","Q1.2020","Czechia","CZE","HUR","TOT","PC_LF","M","2020-04",2.2,"","4/3/2020","CZ","EURO",269,3858,5,44,10.62643,2.53142e-05,0.000363057,4.70525e-07,4.14062e-06,"396,444"
"8","Q1.2020","Denmark","DNK","HUR","TOT","PC_LF","M","2020-04",4.9,"","4/3/2020","DK","EURO",279,3386,19,123,5.789957,4.81869e-05,0.000584806,3.28154e-06,2.12437e-05,"307,870"
"9","Q1.2020","Estonia","EST","HUR","TOT","PC_LF","M","2020-04",6,"","4/3/2020","EE","EURO",79,858,6,11,1.321977,5.9759e-05,0.000649028,4.53866e-06,8.32087e-06,"45,864"
"10","Q1.2020","Finland","FIN","HUR","TOT","PC_LF","M","2020-04",7.3,"","4/3/2020","FI","EURO",72,1518,2,19,5.515525,1.30541e-05,0.000275223,3.62613e-07,3.44482e-06,"248,866"
