,Quarter,Country,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag.Codes,Date_reported,Country_code,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,Population,New_cases_pc,Cumulative_cases_pc,New_deaths_pc,Cumulative_deaths_pc,GDP,%GDP (QTR),%GDP (TOTAL),Unemployment,%unem (QTR),%unem (TOTAL)
106,Q4.2019,Australia,AUS,HUR,TOT,PC_LF,M,2020-01,5.264596,,1/3/2020,AU,WPRO,0,0,0,0,24.99286,0,0,0,0,"1,237,433",0.393353994,,5.264596,-0.006395173,
1,Q1.2020,Australia,AUS,HUR,TOT,PC_LF,M,2020-04,6.353878,,4/3/2020,AU,WPRO,374,5350,5,26,24.99286,1.50E-05,0.000214061,2.00E-07,1.04E-06,"1,233,976",-0.279320053,,6.353878,0.206907045,
36,Q2.2020,Australia,AUS,HUR,TOT,PC_LF,M,2020-07,7.480891,,7/3/2020,AU,WPRO,81,8001,0,104,24.99286,3.24E-06,0.000320131,0,4.16E-06,"1,147,260",-7.027382636,,7.480891,0.177374038,
71,Q3.2020,Australia,AUS,HUR,TOT,PC_LF,M,2020-10,6.987514,,10/3/2020,AU,WPRO,17,27113,2,890,24.99286,6.80E-07,0.00108483,8.00E-08,3.56E-05,"1,185,442",3.328123983,-0.042015204,6.987514,-0.065951636,0.246570955
107,Q4.2019,Austria,AUT,HUR,TOT,PC_LF,M,2020-01,4.4,,1/3/2020,AT,EURO,0,0,0,0,8.837707,0,0,0,0,"466,947",-0.536193235,,4.4,0,
2,Q1.2020,Austria,AUT,HUR,TOT,PC_LF,M,2020-04,4.9,,4/3/2020,AT,EURO,418,11129,12,158,8.837707,4.73E-05,0.001259263,1.36E-06,1.79E-05,"454,026",-2.766996758,,4.9,0.113636364,
37,Q2.2020,Austria,AUT,HUR,TOT,PC_LF,M,2020-07,5.8,,7/3/2020,AT,EURO,138,17952,0,705,8.837707,1.56E-05,0.002031296,0,7.98E-05,"401,506",-11.56763694,,5.8,0.183673469,
72,Q3.2020,Austria,AUT,HUR,TOT,PC_LF,M,2020-10,5.4,,10/3/2020,AT,EURO,872,47189,1,803,8.837707,9.87E-05,0.005339507,1.13E-07,9.09E-05,"449,546",11.96489617,-0.037265471,5.4,-0.068965517,0.185185185
108,Q4.2019,Belgium,BEL,HUR,TOT,PC_LF,M,2020-01,5.1,,1/3/2020,BE,EURO,0,0,0,0,11.40374,0,0,0,0,"559,563",0.609525864,,5.1,-0.019607843,
3,Q1.2020,Belgium,BEL,HUR,TOT,PC_LF,M,2020-04,4.9,,4/3/2020,BE,EURO,1478,20065,219,1828,11.40374,0.000129607,0.00175951,1.92E-05,0.000160298,"540,442",-3.416970477,,4.9,-0.039215686,
38,Q2.2020,Belgium,BEL,HUR,TOT,PC_LF,M,2020-07,5.9,,7/3/2020,BE,EURO,93,62306,5,9631,11.40374,8.16E-06,0.005463646,4.38E-07,0.000844547,"476,577",-11.817223,,5.9,0.204081633,
73,Q3.2020,Belgium,BEL,HUR,TOT,PC_LF,M,2020-10,6.3,,10/3/2020,BE,EURO,3721,132825,11,10037,11.40374,0.000326296,0.011647495,9.65E-07,0.00088015,"532,052",11.64035042,-0.049165152,6.3,0.06779661,0.19047619
109,Q4.2019,Canada,CAN,HUR,TOT,PC_LF,M,2020-01,5.6,,1/3/2020,CA,AMRO,0,0,0,0,37.058856,0,0,0,0,"1,741,488",7.707789052,,5.6,0,
4,Q1.2020,Canada,CAN,HUR,TOT,PC_LF,M,2020-04,13.1,,4/3/2020,CA,AMRO,1109,10114,22,127,37.058856,2.99E-05,0.000272917,5.94E-07,3.43E-06,"1,708,880",0.094407559,,13.1,1.339285714,
39,Q2.2020,Canada,CAN,HUR,TOT,PC_LF,M,2020-07,10.9,,7/3/2020,CA,AMRO,0,104204,0,8591,37.058856,0,0.002811852,0,0.00023182,"1,515,527",-1.87241647,,10.9,-0.167938931,
