"","Country","Date_reported","Ave_NewCase","Ave_NewDeath","CasePercent_Change.x","DeathPercent_Change.x","Cumul_Case","Cumul_Death","CasePercent_Change.y","DeathPercent_Change.y","X","Quarter","LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag.Codes","Country_code","WHO_region","New_cases","Cumulative_cases","New_deaths","Cumulative_deaths","Population","New_cases_pc","Cumulative_cases_pc","New_deaths_pc","Cumulative_deaths_pc","GDP","X.GDP..QTR.","X.GDP..TOTAL.","Unemployment","X.unem..QTR.","X.unem..TOTAL."
"1","Australia","1/3/2020",51.2022471910112,0.213483146067416,NA,NA,4557,19,NA,NA,106,"Q4.2019","AUS","HUR","TOT","PC_LF","M","2020-01",5.264596,NA,"AU","WPRO",0,0,0,0,24.99286,0,0,0,0,"1,237,433",0.393353994,NA,5.264596,-0.006395173,NA
"2","Australia","10/3/2020",14.3260869565217,0.293478260869565,0.720205894419479,0.374713958810069,1318,27,0.710774632433619,0.421052631578947,71,"Q3.2020","AUS","HUR","TOT","PC_LF","M","2020-10",6.987514,NA,"AU","WPRO",17,27113,2,890,24.99286,6.8e-07,0.00108483,8e-08,3.56e-05,"1,185,442",3.328123983,-0.042015204,6.987514,-0.065951636,0.246570955
"3","Australia","4/3/2020",35.2747252747253,0.934065934065934,1.46227217395654,2.18274318274318,3210,85,1.43550834597876,2.14814814814815,1,"Q1.2020","AUS","HUR","TOT","PC_LF","M","2020-04",6.353878,NA,"AU","WPRO",374,5350,5,26,24.99286,1.5e-05,0.000214061,2e-07,1.04e-06,"1,233,976",-0.279320053,NA,6.353878,0.206907045,NA
"4","Australia","7/3/2020",209.739130434783,8.45652173913044,4.94587566030069,8.05345268542199,19296,778,5.01121495327103,8.15294117647059,36,"Q2.2020","AUS","HUR","TOT","PC_LF","M","2020-07",7.480891,NA,"AU","WPRO",81,8001,0,104,24.99286,3.24e-06,0.000320131,0,4.16e-06,"1,147,260",-7.027382636,NA,7.480891,0.177374038,NA
"5","Austria","1/3/2020",108.067415730337,1.21348314606742,NA,NA,9618,108,NA,NA,107,"Q4.2019","AUT","HUR","TOT","PC_LF","M","2020-01",4.4,NA,"AT","EURO",0,0,0,0,8.837707,0,0,0,0,"466,947",-0.536193235,NA,4.4,0,NA
"6","Austria","10/3/2020",3388.52173913043,57.5,30.355628486443,46.3842592592593,311744,5290,31.4125597837388,47.9814814814815,72,"Q3.2020","AUT","HUR","TOT","PC_LF","M","2020-10",5.4,NA,"AT","EURO",872,47189,1,803,8.837707,9.87e-05,0.005339507,1.13e-07,9.09e-05,"449,546",11.96489617,-0.037265471,5.4,-0.068965517,0.185185185
"7","Austria","4/3/2020",88.4395604395604,6.53846153846154,0.973900252898405,0.88628762541806,8048,595,0.974183945801683,0.887523629489603,2,"Q1.2020","AUT","HUR","TOT","PC_LF","M","2020-04",4.9,NA,"AT","EURO",418,11129,12,158,8.837707,4.73e-05,0.001259263,1.36e-06,1.79e-05,"454,026",-2.766996758,NA,4.9,0.113636364,NA
"8","Austria","7/3/2020",292.836956521739,1.01086956521739,2.31115345967672,0.84539641943734,26941,93,2.34753976143141,0.843697478991597,37,"Q2.2020","AUT","HUR","TOT","PC_LF","M","2020-07",5.8,NA,"AT","EURO",138,17952,0,705,8.837707,1.56e-05,0.002031296,0,7.98e-05,"401,506",-11.56763694,NA,5.8,0.183673469,NA
"9","Belgium","1/3/2020",172.921348314607,13.1573033707865,NA,NA,15390,1171,NA,NA,108,"Q4.2019","BEL","HUR","TOT","PC_LF","M","2020-01",5.1,NA,"BE","EURO",0,0,0,0,11.40374,0,0,0,0,"559,563",0.609525864,NA,5.1,-0.019607843,NA
"10","Belgium","10/3/2020",5708.03260869565,103.217391304348,32.0094153459333,6.84487431775146,525139,9496,33.1220922677063,7.10930828351836,73,"Q3.2020","BEL","HUR","TOT","PC_LF","M","2020-10",6.3,NA,"BE","EURO",3721,132825,11,10037,11.40374,0.000326296,0.011647495,9.65e-07,0.00088015,"532,052",11.64035042,-0.049165152,6.3,0.06779661,0.19047619
