"","Quarter","Country","LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag.Codes","Date_reported","Country_code","WHO_region","New_cases","Cumulative_cases","New_deaths","Cumulative_deaths","Population","New_cases_pc","Cumulative_cases_pc","New_deaths_pc","Cumulative_deaths_pc","GDP"
"1","Q1.2020","","OECD","HUR","TOT","PC_LF","M","2020-04",8.78448,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Q1.2020","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,"4/3/2020","AR","AMRO",79,1133,4,31,44.494502,1.7755e-06,2.54638e-05,8.98987e-08,6.96715e-07,NA
"3","Q1.2020","Australia","AUS","HUR","TOT","PC_LF","M","2020-04",6.353878,"","4/3/2020","AU","WPRO",374,5350,5,26,24.99286,1.49643e-05,0.000214061,2.00057e-07,1.0403e-06,"1,233,976"
"4","Q1.2020","Austria","AUT","HUR","TOT","PC_LF","M","2020-04",4.9,"","4/3/2020","AT","EURO",418,11129,12,158,8.837707,4.72973e-05,0.001259263,1.35782e-06,1.78779e-05,"454,026"
"5","Q1.2020","Belgium","BEL","HUR","TOT","PC_LF","M","2020-04",4.9,"","4/3/2020","BE","EURO",1478,20065,219,1828,11.40374,0.000129607,0.00175951,1.92042e-05,0.000160298,"540,442"
"6","Q1.2020","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"4/3/2020","BR","AMRO",1119,6836,40,241,208.4949,5.36704e-06,3.27874e-05,1.91851e-07,1.1559e-06,"3,007,004"
"7","Q1.2020","Bulgaria",NA,NA,NA,NA,NA,NA,NA,NA,"4/3/2020","BG","EURO",35,457,0,10,7.025037,4.98218e-06,6.5053e-05,0,1.42348e-06,"153,093"
"8","Q1.2020","Canada","CAN","HUR","TOT","PC_LF","M","2020-04",13.1,"","4/3/2020","CA","AMRO",1109,10114,22,127,37.058856,2.99254e-05,0.000272917,5.9365e-07,3.42698e-06,"1,708,880"
"9","Q1.2020","Chile","CHL","HUR","TOT","PC_LF","M","2020-04",10.88574,"","4/3/2020","CL","AMRO",373,3404,2,18,18.751405,1.98918e-05,0.000181533,1.06659e-07,9.59928e-07,"442,744"
"10","Q1.2020","China",NA,NA,NA,NA,NA,NA,NA,NA,"4/3/2020","CN","WPRO",78,82802,4,3331,1415.045928,5.51219e-08,5.85154e-05,2.82676e-09,2.35399e-06,NA
